DSC01609.JPG	212	8035	0.0996481	0.303378	182	176	200
DSC01609.JPG	135	9618	0.436991	-0.0249617	244	236	175
DSC01609.JPG	25	10429	0.352748	0.0693178	21	25	28
DSC01609.JPG	20	10395	0.234655	0.0423174	255	252	192
DSC01609.JPG	29	10335	0.142073	-0.140133	109	138	108
DSC01609.JPG	288	9083	0.221667	0.0164515	89	105	71
DSC01609.JPG	346	4995	0.314266	-0.234987	255	255	193
DSC01609.JPG	282	1614	0.312254	-0.254925	255	255	208
DSC01609.JPG	266	1625	0.106052	0.307687	88	103	139
DSC01609.JPG	265	10411	0.368781	0.153993	42	49	41
DSC01609.JPG	2	10343	0.405865	-0.365227	191	180	129
DSC01609.JPG	59	10450	0.342039	0.118421	181	173	123
DSC01609.JPG	50	9370	0.454307	0.303674	251	244	164
DSC01609.JPG	415	8809	0.480504	-0.0896256	88	92	65
DSC01609.JPG	416	5461	0.440274	0.0735184	254	251	187
DSC01609.JPG	417	10166	0.137586	-0.235919	58	68	44
DSC01609.JPG	296	9395	0.281074	0.170783	118	133	105
DSC01609.JPG	375	10061	0.413659	0.11585	39	61	43
DSC01609.JPG	376	10087	0.212018	-0.226875	124	139	98
DSC01609.JPG	318	9253	0.32609	-0.012395	255	255	235
DSC01609.JPG	199	10430	0.352748	0.0693178	21	25	28
DSC01609.JPG	198	7119	0.121112	-0.233198	101	106	75
DSC01609.JPG	313	405	-0.27418	0.272057	156	165	197
DSC01609.JPG	194	4817	0.412596	-0.0545459	169	160	102
DSC01609.JPG	310	10011	0.342078	0.160669	35	45	34
DSC01609.JPG	314	7171	0.300564	-0.259247	78	89	63
DSC01609.JPG	272	9426	0.122141	-0.115123	201	213	169
DSC01609.JPG	89	7902	0.0953828	0.295682	197	189	212
DSC01609.JPG	274	10109	0.464084	0.312121	70	87	63
DSC01609.JPG	394	5813	-0.0978277	0.0493863	170	170	197
DSC01609.JPG	82	9947	0.331205	0.111782	255	254	191
DSC01609.JPG	80	8640	0.345353	0.137011	65	75	48
DSC01609.JPG	81	1624	0.106052	0.307687	88	103	139
DSC01609.JPG	179	10405	0.421026	-0.0865689	228	219	153
DSC01609.JPG	369	9387	0.462548	-0.058866	246	234	176
DSC01609.JPG	421	10023	0.244401	0.0258053	31	40	33
DSC01609.JPG	420	9348	0.31559	0.288829	125	150	113
DSC01609.JPG	309	6480	0.313754	0.116882	255	251	184
DSC01609.JPG	380	5047	0.226079	0.123785	76	93	75
DSC01609.JPG	108	10338	0.365868	0.309523	29	50	43
DSC01609.JPG	386	8220	0.270019	-0.268259	43	60	41
DSC01609.JPG	102	9420	0.222605	0.00760987	255	255	229
DSC01609.JPG	103	7034	-0.26824	0.341491	93	107	152
DSC01609.JPG	249	9491	0.425415	0.0856521	142	165	129
DSC01609.JPG	248	10193	0.419972	-0.156893	180	172	118
DSC01609.JPG	32	10000	0.284873	0.0451302	34	38	32
DSC01609.JPG	31	10137	0.125216	-0.218336	65	80	59
DSC01609.JPG	37	2789	-0.247284	0.258873	242	254	255
DSC01609.JPG	247	10342	0.405865	-0.365227	191	180	129
DSC01609.JPG	432	6921	0.207406	0.117995	50	70	59
DSC01609.JPG	339	4763	-0.263853	0.251808	233	252	255
DSC01609.JPG	334	10024	0.445159	0.120298	31	45	32
DSC01609.JPG	336	8335	0.224354	-0.120342	150	170	142
